1999/12/30,The Godfather (1972),American Beauty (1999),Schindler's List (1993),The Shawshank Redemption (1994),Casablanca (1942),Citizen Kane (1941),Star Wars (1977),The Godfather: Part II (1974),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),One Flew Over the Cuckoo's Nest (1975),
2000/1/30,The Godfather (1972),American Beauty (1999),Schindler's List (1993),The Shawshank Redemption (1994),Casablanca (1942),Citizen Kane (1941),Star Wars (1977),The Godfather: Part II (1974),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),One Flew Over the Cuckoo's Nest (1975),
2000/2/30,The Godfather (1972),American Beauty (1999),Schindler's List (1993),The Shawshank Redemption (1994),Casablanca (1942),Citizen Kane (1941),Star Wars (1977),The Godfather: Part II (1974),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),One Flew Over the Cuckoo's Nest (1975),
2000/3/30,The Godfather (1972),American Beauty (1999),Schindler's List (1993),The Shawshank Redemption (1994),Casablanca (1942),Citizen Kane (1941),Star Wars (1977),The Godfather: Part II (1974),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),One Flew Over the Cuckoo's Nest (1975),
2000/4/23,The Godfather (1972),American Beauty (1999),The Shawshank Redemption (1994),Schindler's List (1993),Casablanca (1942),Citizen Kane (1941),Star Wars (1977),The Godfather: Part II (1974),One Flew Over the Cuckoo's Nest (1975),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),
2000/5/25,The Godfather (1972),American Beauty (1999),The Shawshank Redemption (1994),Schindler's List (1993),Casablanca (1942),Citizen Kane (1941),Star Wars (1977),The Godfather: Part II (1974),One Flew Over the Cuckoo's Nest (1975),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),
2000/6/30,The Godfather (1972),American Beauty (1999),The Shawshank Redemption (1994),Schindler's List (1993),Casablanca (1942),Citizen Kane (1941),Star Wars (1977),The Godfather: Part II (1974),One Flew Over the Cuckoo's Nest (1975),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),
2000/7/30,The Godfather (1972),American Beauty (1999),The Shawshank Redemption (1994),Schindler's List (1993),Casablanca (1942),Citizen Kane (1941),Star Wars (1977),The Godfather: Part II (1974),One Flew Over the Cuckoo's Nest (1975),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),
2000/8/1,The Godfather (1972),The Shawshank Redemption (1994),American Beauty (1999),Schindler's List (1993),Casablanca (1942),Citizen Kane (1941),Star Wars (1977),The Godfather: Part II (1974),One Flew Over the Cuckoo's Nest (1975),Shichinin no samurai (1954),
2000/9/1,The Godfather (1972),The Shawshank Redemption (1994),Schindler's List (1993),American Beauty (1999),Casablanca (1942),Citizen Kane (1941),Star Wars (1977),The Godfather: Part II (1974),Shichinin no samurai (1954),One Flew Over the Cuckoo's Nest (1975),
2000/10/2,The Godfather (1972),The Shawshank Redemption (1994),Schindler's List (1993),Casablanca (1942),American Beauty (1999),Citizen Kane (1941),Star Wars (1977),The Godfather: Part II (1974),Shichinin no samurai (1954),One Flew Over the Cuckoo's Nest (1975),
2000/11/2,The Godfather (1972),The Shawshank Redemption (1994),Schindler's List (1993),Casablanca (1942),Citizen Kane (1941),American Beauty (1999),Star Wars (1977),The Godfather: Part II (1974),Shichinin no samurai (1954),One Flew Over the Cuckoo's Nest (1975),
2000/12/1,The Godfather (1972),The Shawshank Redemption (1994),Schindler's List (1993),Casablanca (1942),Citizen Kane (1941),American Beauty (1999),The Godfather: Part II (1974),Star Wars (1977),Shichinin no samurai (1954),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),
2001/1/2,The Godfather (1972),The Shawshank Redemption (1994),Schindler's List (1993),Citizen Kane (1941),Casablanca (1942),The Godfather: Part II (1974),American Beauty (1999),Star Wars (1977),Shichinin no samurai (1954),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),
2001/2/1,The Godfather (1972),The Shawshank Redemption (1994),Schindler's List (1993),Citizen Kane (1941),Casablanca (1942),The Godfather: Part II (1974),American Beauty (1999),Star Wars (1977),Shichinin no samurai (1954),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),
2001/3/1,The Godfather (1972),The Shawshank Redemption (1994),Schindler's List (1993),Casablanca (1942),Citizen Kane (1941),The Godfather: Part II (1974),Star Wars (1977),Shichinin no samurai (1954),Wo hu cang long (2000),American Beauty (1999),
2001/4/1,The Godfather (1972),The Shawshank Redemption (1994),Schindler's List (1993),Citizen Kane (1941),Casablanca (1942),The Godfather: Part II (1974),Shichinin no samurai (1954),Star Wars (1977),Wo hu cang long (2000),American Beauty (1999),
2001/5/1,The Godfather (1972),The Shawshank Redemption (1994),Schindler's List (1993),Citizen Kane (1941),Casablanca (1942),The Godfather: Part II (1974),Shichinin no samurai (1954),Star Wars (1977),American Beauty (1999),One Flew Over the Cuckoo's Nest (1975),
2001/6/1,The Godfather (1972),The Shawshank Redemption (1994),Citizen Kane (1941),Schindler's List (1993),Casablanca (1942),The Godfather: Part II (1974),Shichinin no samurai (1954),Star Wars (1977),Memento (2000),One Flew Over the Cuckoo's Nest (1975),
